dateKey (YYYY-MM-DD)	category	tags (semicolon-separated)	answerCanonical	answerAliases (comma-separated)	solutionExplanation	hint1	hint1Explanation	hint2	hint2Explanation	hint3	hint3Explanation	hint4	hint4Explanation	hint5	hint5Explanation	version	contentHash
2026-01-01	Place	Landmark; Architecture; Paris; France	Eiffel Tower		'All clues point to the Eiffel Tower: a structure built as a temporary experiment, later preserved for its height and engineering design, and located on the Champ de Mars in Paris.'	'I was meant to be temporary - my survival was never guaranteed.'	The Eiffel Tower was built for the 1889 World's Fair and was originally planned to be dismantled after 20 years.'	'For a long time, my height mattered more for signals than for sight.'	The tower's height made it useful for radio and broadcast transmissions, which helped justify keeping it standing.'	'Wind passes through me instead of pushing against me.'	'Its open lattice design allows wind to pass through, reducing pressure and increasing stability.'	'When I appeared in 1889, I was the tallest structure humans had ever made.'	'At the time of its completion, it surpassed all previous man-made structures in height.'	'I stand on the Champ de Mars in Paris.'	This precisely identifies the Eiffel Tower's location.'	1	423ee220adc583811fb9b7a1517cda1cdf3ea818add3d59ad0d45c60fbc38489
2026-01-02	Place	City; Europe; Italy	Venice		'The hints describe Venice, a car-free city defined by canals, bridges, Carnival traditions, and its unique location on a lagoon in northeastern Italy.'	'For part of the year, faces disappear while the city fills up.'	During Venice's annual Carnival, many people wear traditional Venetian masks, hiding their faces. At the same time, the city fills with visitors from around the world.'	'You can cross the entire city without ever seeing a car.'	'Venice has no roads for cars. Movement happens on foot or by boat, making it possible to walk across the city without encountering any automobiles.'	'Here, streets are wet and parking is mostly floating.'	'Canals function as streets, and boats serve as the primary vehicles.'	'This city was built across more than a hundred small islands.'	'Venice is spread over 100+ islands connected by bridges.'	'I lie in a lagoon on the Adriatic Sea, in northeastern Italy.'	This gives Venice's unique geographic setting.'	1	203507e25e182473ddebab6006783bb827e6fc72d4aebf15801b7821026e2239
2026-01-03	Object	Art; Painting; Renaissance	Mona Lisa		These clues describe the Mona Lisa, a small but famous painting known for its ambiguity, long visitor queues, and its place in the Louvre as Leonardo da Vinci's most renowned work.'	'People line up patiently, only to spend a moment with me.'	'Visitors often queue for long periods just to briefly view the painting.'	'People are often surprised by how small I actually am.'	'The Mona Lisa is much smaller than many expect after seeing reproductions.'	'I am famous for what I do not clearly reveal.'	Her ambiguous expression and unclear smile are central to the painting's fame.'	'I was painted in the early 16th century and now reside in the Louvre.'	'Leonardo painted it around 1503�1506; it is displayed in Paris.'	I am Leonardo da Vinci's most famous painting.'	'This identifies the work unambiguously.'	1	00bdb89e8ef8bdb4ada11244cb8bf9540f34d37992031fc9885f18313ef83c20
2026-01-04	Person	Scientist; Inventor; Philanthropy; Sweden	Alfred Nobel		'The clues lead to Alfred Nobel, whose invention of dynamite and concern over his legacy resulted in the Nobel Prizes that made him famous for honoring others.'	'Nowadays, I am mostly famous for making other people famous.'	'Nobel is best known for the prizes that honor others, not his own work.'	'My invention meant for construction ended up shaping warfare.'	'Dynamite was designed for mining and construction but became widely used in war.'	'Seeing how I was described publicly changed how I thought about my legacy.'	'A premature obituary called Nobel a �merchant of death,� reportedly influencing his decision to establish the prizes.'	'I was a Swedish chemist and engineer active in the 19th century.'	'This places Nobel historically and professionally.'	'I established the Nobel Prizes through my will.'	'Nobel left his fortune to fund the prizes after his death.'	1	68d51434d54e09503a2f7c3d7c42d0b17539e25cac83144f838a2ade5e2a4374
2026-01-05	Object	Document; Identity; Travel	Passport		'All hints point to a passport, a state-issued document that certifies nationality, records travel, and determines how freely someone can cross international borders.'	'I am small, but I decide how far you can go.'	A passport's power determines where and how freely a person can travel.'	'My pages tell a story mostly through marks, not sentences.'	'Stamps, visas, and entry marks show travel history without needing narrative text.'	'Some versions of me open far more doors than others.'	'Different passports grant very different levels of visa-free access.'	'I am issued by a state to certify nationality.'	A passport formally confirms the holder's nationality.'	'I am required to cross most international borders.'	This defines the passport's core function.'	1	b246fbf110f5d0fdd3ac36072f1bf0ff93494e01c68819e35107d58096dd5fd4
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
																	
